Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1880-07,-0.283507,-0.73079926,0.17154083
1880-08,0.086255945,-0.43259338,0.6118342
1880-09,-0.21870078,-0.62374425,0.19494832
1880-10,-1.0498146,-1.4993342,-0.59251654
1880-11,-1.066987,-1.7149984,-0.41354322
1880-12,-0.66586494,-1.3568103,0.030188125
1881-01,-1.2441615,-1.9633638,-0.5201725
1881-02,-0.6560461,-1.5819123,0.27354923
1881-03,-0.7753482,-1.6171445,0.07055803
1881-04,-0.4695701,-1.2010703,0.26666462
1881-05,-0.068431236,-0.5348804,0.40542442
1881-06,-0.62898797,-1.1212668,-0.12967294
1881-07,-0.25723034,-0.6848069,0.17844671
1881-08,-0.066863686,-0.56897587,0.44217056
1881-09,-0.019813841,-0.41374943,0.38292375
1881-10,-0.597633,-1.0391754,-0.14820494
1881-11,-0.67400306,-1.2689797,-0.073136464
1881-12,0.15965624,-0.51953346,0.8440163
1882-01,0.73621154,0.056193467,1.4213219
1882-02,0.073391184,-0.7832514,0.9340894
1882-03,0.12503657,-0.6686919,0.9231462
1882-04,-0.7111147,-1.4109546,-0.0062993513
1882-05,-0.7517673,-1.2092781,-0.28666574
1882-06,-0.6858826,-1.1849501,-0.1798751
1882-07,-0.51737505,-0.9391266,-0.087364234
1882-08,-0.003381075,-0.49222738,0.49261275
1882-09,-0.009464954,-0.39697996,0.38701904
1882-10,-0.3146455,-0.7492226,0.12800662
1882-11,-0.8054104,-1.3876508,-0.21709885
1882-12,-1.0632259,-1.6973644,-0.4235094
1883-01,-1.0587207,-1.7390661,-0.3732611
1883-02,-0.9537933,-1.8128504,-0.090671
1883-03,-1.1218657,-1.9097586,-0.32952747
1883-04,-0.7386676,-1.4071158,-0.06497524
1883-05,-0.6016339,-1.0252415,-0.1697811
1883-06,0.009817461,-0.45172644,0.47896412
1883-07,-0.2844487,-0.6914283,0.13114427
1883-08,-0.38220063,-0.85093117,0.094042495
1883-09,-0.4850146,-0.8557319,-0.10482411
1883-10,-0.52300346,-0.92729694,-0.109985024
1883-11,-0.6410147,-1.2024122,-0.07328716
1883-12,-0.40198475,-1.0162855,0.21811096
1884-01,-0.55342025,-1.2009426,0.09947995
1884-02,-0.48290884,-1.3010004,0.33945507
1884-03,-0.8032506,-1.5747094,-0.027252628
1884-04,-1.0532454,-1.7166631,-0.38455132
1884-05,-1.122262,-1.5732636,-0.6635124
1884-06,-0.75940216,-1.224898,-0.28638646
1884-07,-0.7157043,-1.1265864,-0.29629946
1884-08,-0.21942347,-0.6901552,0.25878063
1884-09,-0.50551105,-0.876681,-0.12489589
1884-10,-0.62945586,-1.0317954,-0.21836871
1884-11,-1.0908629,-1.66262,-0.5129016
1884-12,-0.7634755,-1.4111243,-0.11033018
1885-01,-1.3019019,-1.9830327,-0.61568415
1885-02,-0.88576776,-1.71961,-0.0477627
1885-03,-1.1407136,-1.919647,-0.3573027
1885-04,-0.9527147,-1.6178317,-0.2823459
1885-05,-1.0083497,-1.450339,-0.5584838
1885-06,-0.7438643,-1.2019883,-0.27813098
1885-07,-0.38201085,-0.7860071,0.03061145
